,index,lat,lon,country,deaths,recovered,serious,cases
0,0,33.7680065,66.2385139,Afghanistan,202,18830,321,11128
1,1,41.000028,19.9999619,Albania,34,22472,312,936
2,2,28.0000272,2.9999825,Algeria,788,92804,1682,8201
3,3,42.5407167,1.5732033,Andorra,55,17303,675,889
4,4,-11.8775768,17.5691241,Angola,2,457,0,73
5,5,17.2234721,-61.9554608,Antigua and Barbuda,4,489,52,36
6,6,-34.9964963,-64.9672817,Argentina,424,73287,6286,11926
7,7,40.7696272,44.6736646,Armenia,88,51461,1170,7062
8,8,12.5013629,-69.9618475,Aruba,2,2876,111,104
9,9,-24.7761086,134.755,Australia,104,235853,2793,7381
10,10,47.2000338,13.199959,Austria,650,517722,9099,18628
11,11,40.3936294,47.7872508,Azerbaijan,47,54936,1398,4640
12,12,24.7736546,-78.0000547,Bahamas,16,1102,52,100
13,13,26.1551249,50.5344606,Bahrain,16,87694,228,9046
14,14,24.4768783,90.2932426,Bangladesh,452,95926,57,31855
15,15,13.1500331,-59.5250305,Barbados,9,1807,189,125
16,16,53.4250605,27.6971358,Belarus,192,221260,3518,31705
17,17,50.6402809,4.6667145,Belgium,9412,509956,48995,56527
18,18,16.8259793,-88.7600927,Belize,4,413,26,32
19,19,9.5293472,2.2584408,Benin,4,1974,0,418
20,20,32.3018217,-64.7603583,Bermuda,13,2440,105,113
21,21,-17.0568696,-64.9912286,Bolivia,252,9634,171,6190
22,22,44.3053476,17.5961467,Bosnia and Herzegovina,146,36198,219,2413
23,23,-23.1681782,24.5928742,Botswana,1,375,0,31
24,24,-10.3333333,-53.2,Brazil,22032,2336482,233466,360159
25,25,42.6073975,25.4856617,Bulgaria,125,15750,1896,2045
26,26,12.0753083,-1.6880314,Burkina Faso,51,19708,0,921
27,27,-3.3634357,29.8870575,Burundi,2,308,0,39
28,28,40.5250362,-81.0927234,CAR,1,376,0,643
29,29,16.0000552,-24.0083947,Cabo Verde,4,1929,0,338
30,30,4.6125522,13.1535811,Cameroon,131,39870,596,5003
31,31,61.0666922,-107.9917071,Canada,5393,1068988,25480,78543
32,32,19.5417212,-80.5667132,Cayman Islands,1,1263,75,161
33,33,15.6134137,19.0156172,Chad,60,2896,0,686
34,34,60.6167942,-145.7996671,Channel Islands,31,13218,0,691
35,35,-31.7613365,-71.3187697,Chile,760,496061,25723,75585
36,36,35.000074,104.999927,China,2262,4743845,7568,53159
37,37,2.8894434,-73.783892,Colombia,732,91959,5652,21770
38,38,-12.2045176,44.2832964,Comoros,1,133,0,87
39,39,-0.7264327,15.6419155,Congo,18,2152,0,426
40,40,10.2735633,-84.0739102,Costa Rica,11,14673,518,1091
41,41,45.5643442,17.0118954,Croatia,88,54637,1348,2605
42,42,23.0131338,-80.8328748,Cuba,61,35923,522,1794
43,43,12.1845,-68.9640875031406,Curaçao,2,553,0,14
44,44,34.9823018,33.1451285,Cyprus,17,13427,617,1206
45,45,49.8167003,15.4749544,Czechia,368,141338,4003,9850
46,46,-2.9814344,23.8222636,DRC,64,5464,0,2291
47,47,55.670249,10.3333283,Denmark,615,278024,4798,12234
48,48,53.8953584,27.5554078,Diamond Princess,9,36270,411,251
49,49,11.8145966,42.8453061,Djibouti,16,24798,0,2147
50,50,19.0974031,-70.3028026,Dominican Republic,452,117075,7495,13948
51,51,-1.3397668,-79.3666965,Ecuador,2977,125847,8897,29812
52,52,26.2540493,29.2675469,Egypt,726,87124,820,17548
53,53,13.8000382,-88.9140683,El Salvador,38,10561,479,1918
54,54,1.613172,10.5170357,Equatorial Guinea,11,1231,0,809
55,55,58.7523778,25.3319078,Estonia,74,24471,502,1996
56,56,-26.5624806,31.3991317,Eswatini,1,1729,0,189
57,57,10.2116702,38.6521203,Ethiopia,9,3100,35,707
58,58,63.2467777,25.9209164,Finland,216,122252,3198,6547
59,59,46.603354,1.8883335,France,32809,2184299,272182,228444
60,60,-0.8999695,11.6899699,Gabon,13,6180,139,2084
61,61,13.470062,-15.4900464,Gambia,2,355,0,30
62,62,32.3293809,-83.1137366,Georgia,12,11213,342,702
63,63,51.0834196,10.4234469,Germany,8001,5227600,171735,201610
64,64,8.0300284,-1.0800271,Ghana,28,28615,244,6482
65,65,38.9953683,21.9877132,Greece,175,42955,3244,3221
66,66,16.2490067,-61.5650444,Guadeloupe,11,4222,516,181
67,67,13.450125700000001,144.75755102972062,Guam,2,0,0,58
68,68,15.6356088,-89.8988087,Guatemala,51,4042,207,3508
69,69,10.7226226,-10.7083587,Guinea,14,26586,264,2654
70,70,12.100035,-14.9000214,Guinea-Bissau,6,795,0,1038
71,71,4.8417097,-58.6416891,Guyana,13,1231,165,183
72,72,19.1399952,-72.3570972,Haiti,31,475,0,1051
73,73,15.2572432,-86.0755145,Honduras,159,6867,569,4048
74,74,22.2793278,114.1628131,Hong Kong,4,34471,368,1203
75,75,47.1817585,19.5060937,Hungary,439,33146,1994,3509
76,76,64.9841821,-18.1059013,Iceland,15,65694,329,2246
77,77,22.3511148,78.6677428,India,3954,844244,35776,138048
78,78,-2.4833826,117.8902853,Indonesia,1403,100384,0,21544
79,79,32.6475314,54.5643516,Iran,8172,3346901,191096,142778
80,80,33.0955793,44.1749775,Iraq,177,67583,34,4758
81,81,52.865196,-7.9794599,Ireland,1163,484478,6823,24590
82,82,54.2358167,-4.514598745698255,Isle of Man,9,9599,546,460
83,83,31.5313113,34.8667654,Israel,287,354329,6116,18457
84,84,42.6384261,12.674297,Italy,34574,3811701,137364,249535
85,85,7.9897371,-5.5679458,Ivory Coast,26,25919,0,2277
86,86,18.1152958,-77.1598454610168,Jamaica,10,3197,16,311
87,87,36.5748441,139.2394179,Japan,597,251763,9602,11409
88,88,31.1667049,36.941628,Jordan,5,15174,285,774
89,89,47.2286086,65.2093197,Kazakhstan,45,71372,1339,7836
90,90,1.4419683,38.4313975,Kenya,54,7821,93,1334
91,91,29.2733964,47.4979476,Kuwait,154,101187,4342,21266
92,92,41.5089324,74.724091,Kyrgyzstan,18,21052,400,1475
93,93,56.8406494,24.7537645,Latvia,17,15475,166,1093
94,94,33.8750629,35.843409,Lebanon,26,10657,1223,1253
95,95,5.7499721,-9.3658524,Liberia,22,2700,0,242
96,96,26.8234472,18.1236723,Libya,3,917,0,82
97,97,47.1416307,9.5531527,Liechtenstein,2,2530,0,121
98,98,55.3500003,23.7499997,Lithuania,66,25019,878,1744
99,99,49.8158683,6.1296751,Luxembourg,130,109813,1346,4627
100,100,52.4387696,4.8185293,MS Zaandam,4,0,0,14
101,101,-18.9249604,46.4416422,Madagascar,2,3319,152,612
102,102,-13.2687204,33.9301963,Malawi,5,555,46,97
103,103,4.5693754,102.2656823,Malaysia,130,184883,3004,8875
104,104,4.7064352,73.3287853,Maldives,4,2000,131,1178
105,105,16.3700359,-2.2900239,Mali,67,11220,0,834
106,106,35.8885993,14.4476911,Malta,8,12210,121,800
107,107,14.6113732,-60.9620777,Martinique,10,3677,629,202
108,108,20.2540382,-9.2399263,Mauritania,12,259,0,264
109,109,-20.2759451,57.5703566,Mauritius,14,9217,99,457
110,110,-12.823048,45.1520755,Mayotte,19,16272,316,1418
111,111,19.4326296,-99.1331785,Mexico,6761,757849,12862,63298
112,112,47.2879608,28.5670941,Moldova,238,63433,8935,7071
113,113,43.7323492,7.4276832,Monaco,2,2401,134,120
114,114,42.9868853,19.5180992,Montenegro,9,7984,212,445
115,115,31.1728205,-7.3362482,Morocco,226,85248,57,6265
116,116,-19.302233,34.9144977,Mozambique,1,1012,0,182
117,117,17.1750495,95.9999652,Myanmar,7,2202,0,169
118,118,28.1083929,84.0917139,Nepal,4,1184,6,739
119,119,52.5001698,5.7480821,Netherlands,5785,7500,52060,46836
120,120,-41.5000831,172.8344077,New Zealand,18,46106,132,1749
121,121,12.6090157,-85.2936911,Nicaragua,32,1924,0,759
122,122,17.7356214,9.3238432,Niger,52,18565,0,1319
123,123,9.6000359,7.9999721,Nigeria,219,33932,193,7211
124,124,41.6171214,21.7168387,North Macedonia,120,33093,924,2086
125,125,64.5731537,11.52803643954819,Norway,265,40242,2999,8972
126,126,21.0000287,57.0036901,Oman,34,37224,761,7311
127,127,30.3308401,71.247499,Pakistan,1026,286488,3825,52394
128,128,31.94696655,35.27386547291496,Palestine,3,8114,0,602
129,129,8.559559,-81.1308434,Panama,258,108264,4704,9942
130,130,-23.3165935,-58.1693445,Paraguay,14,5739,126,866
131,131,-6.8699697,-75.0458515,Peru,3287,793539,24633,116281
132,132,12.7503486,122.7312101,Philippines,896,63722,1551,14360
133,133,52.215933,19.134422,Poland,899,181309,7470,21318
134,134,40.0332629,-7.8896263,Portugal,1290,145374,10157,32641
135,135,18.2214149,-66.41328179513847,Puerto Rico,3,0,0,60
136,136,25.3336984,51.2295295,Qatar,29,123580,4188,40892
137,137,45.9852129,24.6859225,Romania,1118,236617,10964,17384
138,138,64.6863136,97.7453061,Russia,3179,1523294,62340,305186
139,139,-21.1309332,55.5265771,Réunion,1,10937,182,474
140,140,36.638392,127.6961188,S. Korea,304,462979,2815,10772
141,141,48.5683066,6.7539988,Saint Martin,2,1030,162,38
142,142,43.9458623,12.458306,San Marino,46,5655,497,582
143,143,0.8875498,6.9648718,Sao Tome and Principe,12,172,0,441
144,144,25.6242618,42.3528328,Saudi Arabia,389,570971,6888,64730
145,145,14.4750607,-14.4529612,Senegal,31,26454,194,2676
146,146,44.024322850000004,21.07657433209902,Serbia,226,103583,4144,10644
147,147,8.6400349,-11.8400269,Sierra Leone,40,3168,0,673
148,148,1.357107,103.8194992,Singapore,28,191975,1278,22628
149,149,50.8381331,4.9237307,Sint Maarten,20,1435,193,98
150,150,48.7411522,19.4528646,Slovakia,14,27830,219,1437
151,151,45.8133113,14.4808369,Slovenia,116,19782,1248,1621
152,152,8.3676771,49.083416,Somalia,46,3620,68,1262
153,153,-28.8166236,24.991639,South Africa,474,166557,2576,22045
154,154,7.8699431,29.6667897,South Sudan,8,73,0,780
155,155,39.3262345,-4.8380649,Spain,30266,6181656,250434,279366
156,156,7.5554942,80.7137847,Sri Lanka,13,12360,141,1046
157,157,14.5844444,29.4917691,Sudan,149,5560,0,3656
158,158,4.1413025,-56.0771187,Suriname,2,308,0,14
159,159,59.6749712,14.5208584,Sweden,3627,123151,29239,32177
160,160,46.7985624,8.2319736,Switzerland,2043,985955,13747,37146
161,161,34.6401861,39.0494106,Syria,1,949,0,122
162,162,23.59829785,120.83536313817521,Taiwan,6,12401,0,499
163,163,38.6281733,70.8156541,Tajikistan,47,8177,0,3266
164,164,-6.5247123,35.7878438,Tanzania,11,4943,189,155
165,165,14.8971921,100.83273,Thailand,72,103733,2975,3558
166,166,8.7800265,1.0199765,Togo,10,3354,0,413
167,168,10.8677845,-60.9821067,Trinidad and Tobago,10,2929,0,161
168,169,33.8439408,9.400138,Tunisia,65,19294,1918,1012
169,170,38.9597594,34.9249653,Turkey,3936,2628341,72077,154672
170,171,21.7214683,-71.6201783,Turks and Caicos,2,224,0,14
171,172,49.4871968,31.2718321,UAE,209,215747,66,28486
172,173,54.7023545,-3.2765753,UK,33429,4285,76299,256595
173,174,39.7837304,-100.4458825,USA,86514,8857463,729002,1626138
174,175,49.4871968,31.2718321,Ukraine,575,111424,6410,17829
175,176,-32.8755548,-56.0201525,Uruguay,22,19121,612,761
176,177,41.32373,63.9528098,Uzbekistan,9,54939,427,3522
177,178,8.0018709,-66.1109318,Venezuela,13,7998,222,1140
178,179,24.1797324,-13.7667848,Western Sahara,1,151,0,11
179,180,-41.289636,174.7757724,World,272907,53712211,2461742,4367544
180,181,16.3471243,47.8915271,Yemen,49,86,0,245
181,182,-14.5186239,27.5599164,Zambia,8,4952,42,851
182,183,-18.4554963,29.7468414,Zimbabwe,6,337,0,61
